Frecuencia;Patrón
263;['ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']
165;['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']
165;['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP']
140;['VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']
130;['DET', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN']
123;['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN']
110;['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET']
100;['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ']
96;['ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
95;['VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'DET']
85;['NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'PUNCT']
85;['DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN']
82;['ADP', 'DET', 'NOUN', 'ADJ', 'ADP', 'DET']
81;['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']
78;['ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']
76;['ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP']
75;['NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN']
74;['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'PROPN']
69;['NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADP']
68;['ADJ', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN']
67;['DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN']
67;['ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP']
66;['ADJ', 'ADP', 'DET', 'NOUN', 'ADP', 'DET']
65;['VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN']
65;['DET', 'NOUN', 'ADP', 'DET', 'PROPN', 'PUNCT']
65;['DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN']
65;['ADP', 'DET', 'NOUN', 'PUNCT', 'DET', 'NOUN']
65;['ADP', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT']
64;['DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET']
64;['ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP']
63;['VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']
62;['VERB', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN']
60;['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN']
59;['NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'ADP']
58;['NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'PUNCT']
58;['ADP', 'DET', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN']
56;['VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP']
56;['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET']
54;['ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ']
53;['ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET']
52;['DET', 'NOUN', 'PRON', 'VERB', 'DET', 'NOUN']
52;['VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP']
51;['ADP', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN']
51;['VERB', 'ADP', 'DET', 'NOUN', 'DET', 'NOUN']
50;['ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']
49;['NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP']
48;['NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT']
48;['DET', 'NOUN', 'PUNCT', 'ADP', 'DET', 'NOUN']
47;['PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT']
46;['ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP']
46;['ADJ', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']
45;['ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ']
44;['ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ']
43;['DET', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN']
43;['NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'DET']
42;['ADP', 'DET', 'NOUN', 'ADJ', 'ADP', 'NOUN']
41;['ADP', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ']
41;['VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
41;['ADP', 'DET', 'NOUN', 'PUNCT', 'ADP', 'DET']
40;['ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'ADP']
40;['DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP']
39;['DET', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADP']
39;['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'PUNCT']
38;['NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'DET', 'NOUN']
38;['NOUN', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']
38;['ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN']
38;['NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
38;['NOUN', 'PUNCT', 'ADP', 'DET', 'NOUN', 'ADP']
37;['ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN']
37;['NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'DET']
37;['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']
37;['DET', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'ADP']
36;['DET', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'PUNCT']
36;['DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN']
36;['ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']
34;['ADP', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN']
33;['VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']
33;['PUNCT', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']
33;['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PROPN']
33;['ADP', 'DET', 'NOUN', 'PUNCT', 'ADP', 'DET', 'NOUN']
32;['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
32;['DET', 'NOUN', 'CONJ', 'DET', 'NOUN', 'PUNCT']
31;['ADP', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP']
31;['NOUN', 'PUNCT', 'DET', 'NOUN', 'ADP', 'NOUN']
31;['DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP']
31;['DET', 'NOUN', 'ADP', 'NOUN', 'PRON', 'VERB']
31;['DET', 'NOUN', 'ADP', 'VERB', 'DET', 'NOUN']
31;['ADP', 'DET', 'NOUN', 'VERB', 'DET', 'NOUN']
30;['DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
30;['DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN']
29;['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'ADP']
29;['VERB', 'ADP', 'DET', 'NOUN', 'ADJ', 'PUNCT']
29;['DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT']
29;['NOUN', 'ADP', 'NOUN', 'PUNCT', 'DET', 'NOUN']
29;['NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NOUN']
29;['ADP', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN']
29;['ADJ', 'ADP', 'DET', 'NOUN', 'ADJ', 'PUNCT']
28;['ADP', 'NOUN', 'PUNCT', 'ADP', 'DET', 'NOUN']
28;['ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN']
28;['DET', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP']
28;['ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET']
27;['NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP']
27;['DET', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'PUNCT']
27;['NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN']
26;['NOUN', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP']
26;['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB']
26;['ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'ADJ']
26;['NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'ADP']
26;['NOUN', 'ADP', 'DET', 'NOUN', 'PROPN', 'PUNCT']
26;['ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN']
26;['ADJ', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN']
25;['NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN']
25;['ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'DET']
25;['NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP']
25;['NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP']
25;['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP']
25;['ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN']
25;['DET', 'NOUN', 'DET', 'NOUN', 'ADP', 'DET']
24;['DET', 'NOUN', 'ADP', 'NOUN', 'CONJ', 'NOUN']
24;['ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN']
23;['ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN']
23;['DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'DET']
23;['VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP']
23;['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']
23;['ADP', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'ADP']
22;['NOUN', 'ADP', 'VERB', 'ADP', 'DET', 'NOUN']
22;['DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP']
22;['DET', 'NOUN', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']
22;['DET', 'NOUN', 'DET', 'NOUN', 'ADP', 'NOUN']
22;['NOUN', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
22;['NOUN', 'PUNCT', 'NOUN', 'ADP', 'DET', 'NOUN']
22;['NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN']
22;['ADJ', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
22;['NOUN', 'PUNCT', 'DET', 'NOUN', 'ADP', 'DET']
22;['DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'ADP']
22;['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP']
22;['DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN']
22;['PUNCT', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN']
22;['DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
21;['NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'NOUN']
21;['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT']
21;['ADP', 'DET', 'NOUN', 'ADP', 'VERB', 'DET']
21;['ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET']
21;['NOUN', 'CONJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
20;['VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET']
20;['DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'DET']
20;['ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET']
19;['ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']
19;['ADP', 'DET', 'NOUN', 'PUNCT', 'NOUN', 'ADP']
19;['NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ']
19;['NOUN', 'ADP', 'DET', 'NOUN', 'DET', 'NOUN']
19;['ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET']
19;['NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ']
19;['DET', 'NOUN', 'ADJ', 'VERB', 'DET', 'NOUN']
19;['VERB', 'ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'ADP']
19;['DET', 'NOUN', 'PRON', 'VERB', 'ADP', 'NOUN']
19;['ADP', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN']
19;['NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'ADP']
19;['DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']
18;['ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'PUNCT']
18;['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'DET']
18;['NOUN', 'ADP', 'NOUN', 'VERB', 'DET', 'NOUN']
18;['DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'DET', 'NOUN']
18;['DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'ADP']
18;['VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']
18;['ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'ADP', 'NOUN']
18;['DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT']
18;['ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'PUNCT']
18;['PUNCT', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN']
18;['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ']
18;['DET', 'NOUN', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP']
18;['DET', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'NOUN']
17;['VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']
17;['ADP', 'DET', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'PUNCT']
17;['PUNCT', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP']
17;['NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN']
17;['ADP', 'DET', 'NOUN', 'VERB', 'ADP', 'DET']
17;['NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'ADJ']
17;['VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN']
17;['NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'PUNCT']
17;['ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']
17;['ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN']
16;['VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
16;['PUNCT', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
16;['ADJ', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']
16;['ADP', 'DET', 'NOUN', 'ADP', 'VERB', 'DET', 'NOUN']
16;['DET', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'PUNCT']
16;['NOUN', 'ADP', 'NOUN', 'PUNCT', 'ADP', 'DET']
16;['NOUN', 'ADP', 'NOUN', 'CONJ', 'NOUN', 'PUNCT']
16;['ADP', 'DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP']
16;['VERB', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']
16;['ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'ADP', 'DET']
16;['VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN']
16;['NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'DET']
16;['NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'DET']
16;['ADP', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'NOUN']
15;['DET', 'NOUN', 'ADP', 'NOUN', 'PROPN', 'PUNCT']
15;['ADP', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN']
15;['DET', 'NOUN', 'DET', 'NOUN', 'ADJ', 'ADP']
15;['DET', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']
15;['NOUN', 'PUNCT', 'ADP', 'DET', 'NOUN', 'PUNCT']
15;['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
15;['ADP', 'NOUN', 'DET', 'NOUN', 'ADP', 'DET']
15;['DET', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP']
15;['ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'VERB']
15;['ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN']
14;['ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET']
14;['ADJ', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT']
14;['ADP', 'DET', 'NOUN', 'PUNCT', 'ADP', 'NOUN']
14;['DET', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NOUN']
14;['NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT']
14;['ADP', 'NOUN', 'ADP', 'DET', 'PROPN', 'PUNCT']
14;['VERB', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP']
14;['VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP']
14;['NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'ADP']
14;['DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'ADJ']
14;['VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN']
14;['DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN']
13;['ADP', 'DET', 'NOUN', 'ADP', 'VERB', 'ADP']
13;['DET', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'DET']
13;['ADP', 'DET', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN']
13;['ADJ', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']
13;['NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'DET']
13;['ADP', 'DET', 'NOUN', 'DET', 'ADJ', 'NOUN']
13;['NOUN', 'PRON', 'VERB', 'DET', 'NOUN', 'PUNCT']
13;['ADJ', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']
13;['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP']
13;['VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT']
13;['DET', 'NOUN', 'PUNCT', 'ADP', 'NOUN', 'ADP']
13;['DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP']
13;['DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP']
13;['ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']
13;['NOUN', 'ADP', 'NOUN', 'PUNCT', 'ADP', 'NOUN']
13;['ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN']
13;['ADP', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT']
12;['NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'DET', 'NOUN']
12;['NOUN', 'ADP', 'ADJ', 'NOUN', 'ADP', 'DET']
12;['NOUN', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'PUNCT']
12;['DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'PUNCT']
12;['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'VERB']
12;['ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP']
12;['ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT']
12;['ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'PUNCT']
12;['ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN']
12;['ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN']
12;['NOUN', 'DET', 'NOUN', 'ADJ', 'ADP', 'DET']
12;['ADP', 'DET', 'DET', 'NOUN', 'ADP', 'NOUN']
12;['DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT']
12;['ADP', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN']
12;['ADP', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'PUNCT']
12;['VERB', 'ADP', 'NOUN', 'DET', 'NOUN', 'ADP']
12;['DET', 'NOUN', 'ADP', 'NOUN', 'DET', 'NOUN']
12;['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PROPN', 'PUNCT']
11;['ADP', 'DET', 'NOUN', 'CONJ', 'NOUN', 'PUNCT']
11;['ADP', 'DET', 'NOUN', 'ADJ', 'DET', 'NOUN']
11;['ADP', 'DET', 'NOUN', 'VERB', 'ADP', 'NOUN']
11;['DET', 'PROPN', 'ADP', 'DET', 'NOUN', 'PUNCT']
11;['DET', 'NOUN', 'VERB', 'ADP', 'NOUN', 'ADP']
11;['ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']
11;['ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'NOUN']
11;['NOUN', 'ADP', 'DET', 'DET', 'NOUN', 'PUNCT']
11;['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'DET']
11;['NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']
11;['ADP', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'DET']
11;['ADP', 'NOUN', 'ADP', 'VERB', 'DET', 'NOUN']
11;['DET', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'ADP', 'NOUN']
11;['ADP', 'NOUN', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']
11;['NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']
11;['ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB']
11;['DET', 'NOUN', 'ADP', 'DET', 'DET', 'NOUN']
11;['NOUN', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']
